params,accuracy,code_lines,threshold_count
"Depth: 6, Min Leaf: 20, Min Split: 20, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 6, Min Leaf: 20, Min Split: 100, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 6, Min Leaf: 30, Min Split: 5, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 6, Min Leaf: 30, Min Split: 8, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 6, Min Leaf: 30, Min Split: 10, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 6, Min Leaf: 30, Min Split: 20, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 6, Min Leaf: 30, Min Split: 100, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 7, Min Leaf: 2, Min Split: 5, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 7, Min Leaf: 2, Min Split: 8, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 7, Min Leaf: 2, Min Split: 10, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 7, Min Leaf: 2, Min Split: 20, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 7, Min Leaf: 2, Min Split: 100, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 7, Min Leaf: 5, Min Split: 5, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 7, Min Leaf: 5, Min Split: 8, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 7, Min Leaf: 5, Min Split: 10, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 7, Min Leaf: 5, Min Split: 20, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 7, Min Leaf: 5, Min Split: 100, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 7, Min Leaf: 8, Min Split: 5, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 7, Min Leaf: 8, Min Split: 8, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 7, Min Leaf: 8, Min Split: 10, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 7, Min Leaf: 8, Min Split: 20, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 7, Min Leaf: 8, Min Split: 100, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 7, Min Leaf: 10, Min Split: 5, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 7, Min Leaf: 10, Min Split: 8, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 7, Min Leaf: 10, Min Split: 10, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 7, Min Leaf: 10, Min Split: 20, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 7, Min Leaf: 10, Min Split: 100, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 7, Min Leaf: 20, Min Split: 5, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 7, Min Leaf: 20, Min Split: 8, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 7, Min Leaf: 20, Min Split: 10, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 7, Min Leaf: 20, Min Split: 20, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 7, Min Leaf: 20, Min Split: 100, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 7, Min Leaf: 30, Min Split: 5, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 7, Min Leaf: 30, Min Split: 8, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 7, Min Leaf: 30, Min Split: 10, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 7, Min Leaf: 30, Min Split: 20, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 7, Min Leaf: 30, Min Split: 100, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 8, Min Leaf: 2, Min Split: 5, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 8, Min Leaf: 2, Min Split: 8, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 8, Min Leaf: 2, Min Split: 10, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 8, Min Leaf: 2, Min Split: 20, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 8, Min Leaf: 2, Min Split: 100, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 8, Min Leaf: 5, Min Split: 5, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 8, Min Leaf: 5, Min Split: 8, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 8, Min Leaf: 5, Min Split: 10, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 8, Min Leaf: 5, Min Split: 20, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 8, Min Leaf: 5, Min Split: 100, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 8, Min Leaf: 8, Min Split: 5, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 8, Min Leaf: 8, Min Split: 8, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 8, Min Leaf: 8, Min Split: 10, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 8, Min Leaf: 8, Min Split: 20, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 8, Min Leaf: 8, Min Split: 100, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 8, Min Leaf: 10, Min Split: 5, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 8, Min Leaf: 10, Min Split: 8, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 8, Min Leaf: 10, Min Split: 10, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 8, Min Leaf: 10, Min Split: 20, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 8, Min Leaf: 10, Min Split: 100, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 8, Min Leaf: 20, Min Split: 5, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 8, Min Leaf: 20, Min Split: 8, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 8, Min Leaf: 20, Min Split: 10, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 8, Min Leaf: 20, Min Split: 20, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 8, Min Leaf: 20, Min Split: 100, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 8, Min Leaf: 30, Min Split: 5, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 8, Min Leaf: 30, Min Split: 8, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 8, Min Leaf: 30, Min Split: 10, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 8, Min Leaf: 30, Min Split: 20, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 8, Min Leaf: 30, Min Split: 100, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 9, Min Leaf: 2, Min Split: 5, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 9, Min Leaf: 2, Min Split: 8, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 9, Min Leaf: 2, Min Split: 10, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 9, Min Leaf: 2, Min Split: 20, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 9, Min Leaf: 2, Min Split: 100, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 9, Min Leaf: 5, Min Split: 5, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 9, Min Leaf: 5, Min Split: 8, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 9, Min Leaf: 5, Min Split: 10, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 9, Min Leaf: 5, Min Split: 20, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 9, Min Leaf: 5, Min Split: 100, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 9, Min Leaf: 8, Min Split: 5, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 9, Min Leaf: 8, Min Split: 8, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 9, Min Leaf: 8, Min Split: 10, Alpha: 0.01",0.9338573335310693,10,3
"Depth: 9, Min Leaf: 8, Min Split: 20, Alpha: 0.01",0.9338573335310693,10,3
